KEGG Pathway and Enzyme ID	Gene name
	NIPA1
	CCNJL
	KIAA1217
	KIAA1217
	SOX6
	CCNJL
	KLF3
	RPL7
00561+3.1.1.3	PNLIPRP1
	KLF3
	ZMYND11
	CCNJL
	CCNJL
	CCNJL
	CCNJL
	CCNJL
	DENND4C
	CCNJL
	DENND4C
	IFFO2
	CCNJL
	DENND4C
05170+2.7.11.1	RIOK1
04714+2.7.11.1	RIOK1
04151+2.7.11.1	RIOK1
05165+2.7.11.1	RIOK1
05163+2.7.11.1	RIOK1
04150+2.7.11.1	RIOK1
04926+2.7.11.1	RIOK1
	IFFO2
	DENND4C
	IGHV1-69D
	IFFO2
	SOX6
	IGHV2-70
	RPL7
	SEMA3A
	RIOK1
	SOX6
	RIDA
	SOX6
	RPL7
	SEMA3A
	RPL7
	NRM
	SOX6
	IGHV3-72
	RPL7
	IL15RA
	RPL7
	IGHV3-72
	RIDA
	RIDA
	RIDA
	SEMA3A
	CLDN17
	NRM
	IGHV3-73
	UBL7
	KIAA1217
	IGHV7-81
	KIAA1217
	IGHV3-74
	KIAA1217
	SOX6
	CCL2
	AC013470.2
	AC013470.2
	SEMA3A
	SOX6
	KIAA1217
	SOX6
	VPS26B
	AC013470.2
	NRM
	NRM
	SEMA3A
	VPS26B
	SOX6
	VPS26B
	CLDN8
	SOX6
	KIAA1217
	VPS26B
	CCL2
	KIAA1217
	KIAA1217
	KIAA1217
	BAG1
	SLC35E4
	KIAA1217
	KIAA1217
	SLC35E4
	SLC35E4
	KIAA1217
	KRTAP24-1
	DUSP18
04658+3.1.3.16	DUSP18
05235+3.1.3.16	DUSP18
04660+3.1.3.16	DUSP18
	KRTAP25-1
04658+3.1.3.16	DUSP18
05235+3.1.3.16	DUSP18
04660+3.1.3.16	DUSP18
	DUSP18
	DUSP18
00561+3.1.1.3	PNLIPRP1
	CLIC1
04658+3.1.3.16	DUSP18
05235+3.1.3.16	DUSP18
04660+3.1.3.16	DUSP18
00561+3.1.1.3	PNLIPRP1
	SERPINA1
	CLIC1
	C11orf58
	BAG1
	CCND3
	PNLIPRP1
	SERPINA1
00561+3.1.1.3	PNLIPRP1
	C11orf58
00561+3.1.1.3	PNLIPRP1
04658+3.1.3.16	DUSP18
05235+3.1.3.16	DUSP18
04660+3.1.3.16	DUSP18
	C11orf58
	C11orf58
	SPECC1
00561+3.1.1.3	PNLIPRP1
04658+3.1.3.16	DUSP18
05235+3.1.3.16	DUSP18
04660+3.1.3.16	DUSP18
00561+3.1.1.3	PNLIPRP1
	SPECC1
	BAG1
	IL15RA
	DUSP18
	CLIC1
	BAG1
	PNLIPRP1
	BAG1
	SPECC1
	ZNF680
	BAG1
	SPECC1
	BAG1
	BAG1
	SPECC1
	BAG1
	SPECC1
	CLIC1
	SERPINA1
	ZNF680
	SERPINA1
	SPECC1
	TSKU
	SERPINA1
	CLIC1
	SERPINA1
	SERPINA1
	SPECC1
	CCL7
	ASDURF
	SPECC1
	SPECC1
	ASDURF
	HLA-DPA1
	CCL7
	CCL7
	ALKBH8
	SERPINA1
	ASDURF
	SERPINA1
	ALKBH8
	SERPINA1
	ASDURF
	SERPINA1
	TSKU
	HLA-DPA1
	ALKBH8
	LILRB3
	HLA-DPA1
	CCND3
	ALKBH8
	TSKU
	AC012488.2
	HLA-DPA1
	SPECC1
	TSKU
	ALKBH8
	AFF2
	COMMD4
	TSKU
	SPECC1
	SERPINA1
	SERPINA1
	SPECC1
	HLA-DPA1
	SERPINA1
	COMMD4
	ALKBH8
	SPECC1
	LILRB3
	SPECC1
	LILRB3
	AFF2
	SPECC1
	SPECC1
	CDC42EP5
	AFF2
	SPECC1
	PTBP3
	AFF2
	IL15RA
	CDC42EP5
	IL15RA
	LILRB3
	IL15RA
	IL15RA
	PTBP3
